par_type,team_id,team_name,par_name,par_value,impact_on_baseline_probability,empirical_probability
team,6728,CUS Cagliari,breakpoint_pos_6,-0.1595775474975346,-0.03457051782476789,0.2361111111111111
team,6728,CUS Cagliari,sideout_pos_1,0.05173892504929673,-0.011427314802660682,0.2987012987012987
team,6728,CUS Cagliari,sideout_pos_2,-0.026279184270243817,0.005880120122213339,0.38095238095238093
team,6728,CUS Cagliari,sideout_pos_3,-0.04716663470472728,0.010589084198621757,0.40350877192982454
team,6728,CUS Cagliari,sideout_pos_4,-0.1193970266891327,0.027103044652126873,0.44871794871794873
team,6728,CUS Cagliari,sideout_pos_5,-0.01024978820545652,0.0022874883592253203,0.3522727272727273
team,6728,CUS Cagliari,sideout_pos_6,0.15135370882026358,-0.032839031781906114,0.32954545454545453
team,6729,Conad Reggio Emilia,breakpoint_team_adjustment,0.13333566130684907,0.030329075772366765,0.3803339517625232
team,6729,Conad Reggio Emilia,sideout_team_adjustment,0.15461634276324188,-0.0335266390376171,0.2854122621564482
team,6729,Conad Reggio Emilia,breakpoint_pos_1,0.03752387097624743,0.008411345390201053,0.4
team,6729,Conad Reggio Emilia,breakpoint_pos_2,0.006589979685222761,0.0014698323645591649,0.3793103448275862
team,6729,Conad Reggio Emilia,breakpoint_pos_3,0.013838186253644292,0.0030901358566265413,0.3870967741935484
team,6729,Conad Reggio Emilia,breakpoint_pos_4,0.06787269010160651,0.015287218248517143,0.42696629213483145
team,6729,Conad Reggio Emilia,breakpoint_pos_5,-0.07262671715943873,-0.015982684463522412,0.3253012048192771
team,6729,Conad Reggio Emilia,breakpoint_pos_6,-0.05319800985728225,-0.011746624713117382,0.358695652173913
team,6729,Conad Reggio Emilia,sideout_pos_1,0.12838576102146326,-0.027973471916633907,0.1891891891891892
team,6729,Conad Reggio Emilia,sideout_pos_2,0.00543712212000735,-0.0012102964880568168,0.2926829268292683
team,6729,Conad Reggio Emilia,sideout_pos_3,0.10217040272116239,-0.022367097076679943,0.20833333333333334
team,6729,Conad Reggio Emilia,sideout_pos_4,-0.07420483052732382,0.0167298246614645,0.35802469135802467
team,6729,Conad Reggio Emilia,sideout_pos_5,-0.047655676084938245,0.010699703742639899,0.32926829268292684
team,6729,Conad Reggio Emilia,sideout_pos_6,-0.11413277925037095,0.0258878648241187,0.3170731707317073
team,6731,ErmGroup Altotevere San Giustino,breakpoint_team_adjustment,-0.05272092246653692,-0.011642235767869602,0.28512396694214875
team,6731,ErmGroup Altotevere San Giustino,sideout_team_adjustment,0.07363769261314909,-0.01620230040500731,0.3215686274509804
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_1,-0.05685952473777326,-0.012547194945715379,0.23255813953488372
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_2,-0.015415137580948545,-0.0034256982954110615,0.2857142857142857
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_3,-0.013415881847041561,-0.0029823998657280137,0.2857142857142857
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_4,-0.007133159105602381,-0.0015873857224670274,0.3
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_5,-0.005021037069471236,-0.001117753524182974,0.2926829268292683
team,6731,ErmGroup Altotevere San Giustino,breakpoint_pos_6,0.09784474034083698,0.022139308354188036,0.3125
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_1,0.06515982113464162,-0.014358154027976189,0.26666666666666666
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_2,0.028987101194598706,-0.006427117396186177,0.3409090909090909
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_3,0.06029127491636624,-0.013296584482232032,0.2857142857142857
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_4,0.005597883945469118,-0.0012460486743407495,0.35714285714285715
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_5,0.11147798884826969,-0.02436399448776444,0.17647058823529413
team,6731,ErmGroup Altotevere San Giustino,sideout_pos_6,-0.27151407003934536,0.06292472000836302,0.43636363636363634
team,6732,Gabbiano FarmaMed Mantova,breakpoint_team_adjustment,0.03843612917809068,0.008617091409985678,0.3516699410609037
team,6732,Gabbiano FarmaMed Mantova,sideout_team_adjustment,0.0738511811615116,-0.016248666609050166,0.3148148148148148
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_1,0.09303236186413791,0.02103509177109203,0.40404040404040403
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_2,-0.03877382356175319,-0.008582803700763586,0.32098765432098764
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_3,-0.05372981499341772,-0.011862965416681803,0.3048780487804878
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_4,0.02894129000028013,0.006478558697685599,0.3829787234042553
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_5,0.00111925550793725,0.00024941490130392374,0.3424657534246575
team,6732,Gabbiano FarmaMed Mantova,breakpoint_pos_6,-0.030589268817184382,-0.006780518662122259,0.3375
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_1,0.008302532558398917,-0.001847254961298339,0.2875
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_2,-0.05472060715054397,0.012299624999816128,0.33707865168539325
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_3,-0.11011721980645277,0.02496212204204784,0.38461538461538464
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_4,-0.0011066224793094138,0.0002465992438452913,0.3
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_5,-0.008697158440471623,0.0019404884661995414,0.3026315789473684
team,6732,Gabbiano FarmaMed Mantova,sideout_pos_6,0.16633907531837885,-0.03598987440316603,0.2571428571428571
team,6734,Monge Gerbaudo Savigliano,breakpoint_team_adjustment,-0.05370522917080675,-0.011857587365058042,0.3076923076923077
team,6734,Monge Gerbaudo Savigliano,sideout_team_adjustment,-0.09507638149069504,0.021503912875358355,0.3866279069767442
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_1,-0.01017939759391637,-0.002264137769655228,0.2857142857142857
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_2,0.01727982208407979,0.0038608321962494974,0.3269230769230769
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_3,0.08236995284359767,0.018594023539334315,0.40350877192982454
team,6734,Monge Gerbaudo Savigliano,breakpoint_pos_4,-0.046881023812764676,-0.010363015620188598,0.25
